True
Epoch: [19][0/625]	Time 3.613 (3.613)	Data 3.510 (3.510)	Loss 0.0026 (0.0026)	
Epoch: [19][25/625]	Time 3.639 (3.606)	Data 3.536 (3.503)	Loss 0.0023 (0.0027)	
Epoch: [19][50/625]	Time 3.601 (3.612)	Data 3.500 (3.509)	Loss 0.0027 (0.0027)	
Epoch: [19][75/625]	Time 3.602 (3.613)	Data 3.500 (3.510)	Loss 0.0019 (0.0028)	
Epoch: [19][100/625]	Time 3.655 (3.614)	Data 3.553 (3.511)	Loss 0.0026 (0.0027)	
Epoch: [19][125/625]	Time 3.641 (3.613)	Data 3.538 (3.510)	Loss 0.0032 (0.0027)	
Epoch: [19][150/625]	Time 3.596 (3.614)	Data 3.495 (3.511)	Loss 0.0024 (0.0027)	
Epoch: [19][175/625]	Time 3.561 (3.612)	Data 3.459 (3.509)	Loss 0.0022 (0.0027)	
Epoch: [19][200/625]	Time 3.608 (3.610)	Data 3.499 (3.507)	Loss 0.0022 (0.0027)	
Epoch: [19][225/625]	Time 3.592 (3.608)	Data 3.490 (3.505)	Loss 0.0026 (0.0027)	
Epoch: [19][250/625]	Time 3.665 (3.607)	Data 3.564 (3.504)	Loss 0.0020 (0.0027)	
Epoch: [19][275/625]	Time 3.594 (3.607)	Data 3.491 (3.504)	Loss 0.0018 (0.0027)	
Epoch: [19][300/625]	Time 3.595 (3.607)	Data 3.492 (3.504)	Loss 0.0024 (0.0027)	
Epoch: [19][325/625]	Time 3.631 (3.607)	Data 3.530 (3.505)	Loss 0.0037 (0.0027)	
Epoch: [19][350/625]	Time 3.582 (3.608)	Data 3.480 (3.505)	Loss 0.0025 (0.0027)	
Epoch: [19][375/625]	Time 3.609 (3.608)	Data 3.506 (3.505)	Loss 0.0027 (0.0027)	
Epoch: [19][400/625]	Time 3.587 (3.609)	Data 3.485 (3.506)	Loss 0.0025 (0.0027)	
Epoch: [19][425/625]	Time 3.594 (3.609)	Data 3.491 (3.506)	Loss 0.0021 (0.0027)	
Epoch: [19][450/625]	Time 3.608 (3.609)	Data 3.506 (3.506)	Loss 0.0029 (0.0027)	
Epoch: [19][475/625]	Time 3.620 (3.610)	Data 3.518 (3.507)	Loss 0.0026 (0.0027)	
Epoch: [19][500/625]	Time 3.629 (3.610)	Data 3.524 (3.507)	Loss 0.0023 (0.0027)	
Epoch: [19][525/625]	Time 3.658 (3.610)	Data 3.546 (3.507)	Loss 0.0024 (0.0027)	
Epoch: [19][550/625]	Time 3.585 (3.610)	Data 3.483 (3.507)	Loss 0.0028 (0.0027)	
Epoch: [19][575/625]	Time 3.630 (3.610)	Data 3.528 (3.507)	Loss 0.0027 (0.0027)	
Epoch: [19][600/625]	Time 3.666 (3.611)	Data 3.564 (3.508)	Loss 0.0026 (0.0027)	
